MedicineName,Category,Company,BatchNo,BuyPrice,SellingPrice,Stock,ExpiryDate,Barcode
Product 0001,Respiratory,PentaHealth,BATCH-2534-D,59.69,69.19,67,2027-08-07,605013925775
Product 0002,Antiseptic,NovaPharma,BATCH-5391-C,133.81,166.14,210,2027-12-30,732893414435
Product 0003,Antiseptic,CureChem,BATCH-8591-B,358.60,423.45,371,2027-06-19,734099874335
Product 0004,Antibiotic,PentaHealth,BATCH-6980-C,281.77,375.50,406,2028-06-19,891098230254
Product 0005,Antibiotic,MediPharm,BATCH-1429-B,323.25,477.65,113,2028-05-04,736172700894
Product 0006,Dermatology,WellLife,BATCH-2784-A,262.46,310.23,294,2026-06-08,602668549400
Product 0007,Cardiac,MediPharm,BATCH-7241-E,498.58,674.03,348,2026-08-01,380437762455
Product 0008,Antihistamine,CureChem,BATCH-9340-D,399.17,544.46,16,2027-12-28,427145768025
Product 0009,Dermatology,WellLife,BATCH-6072-D,278.68,412.12,150,2028-05-06,435297576707
Product 0010,Antiseptic,NovaPharma,BATCH-4777-E,152.31,187.71,245,2027-01-30,623513452265
Product 0011,Antibiotic,WellLife,BATCH-3949-D,73.67,103.62,129,2027-11-10,190085186021
Product 0012,Respiratory,PharmaPlus,BATCH-9445-C,439.04,564.67,95,2027-04-18,501530092007
Product 0013,Analgesic,NovaPharma,BATCH-9736-A,306.41,398.14,439,2027-10-08,678357185474
Product 0014,Antihistamine,HealthCorp,BATCH-6101-A,221.15,317.66,373,2027-12-24,805269042776
Product 0015,Analgesic,NovaPharma,BATCH-7937-A,302.42,428.44,136,2028-02-08,402206615435
Product 0016,Antiseptic,CareGen,BATCH-3426-A,350.78,519.27,418,2026-06-01,411024752039
Product 0017,Diabetes,BioHeal,BATCH-7355-C,185.35,260.15,410,2026-05-08,254098014927
Product 0018,Analgesic,PharmaPlus,BATCH-8437-B,194.37,280.41,136,2028-05-30,845481100359
Product 0019,Analgesic,BioHeal,BATCH-6103-B,257.48,321.71,90,2028-04-01,435022190315
Product 0020,Antacid,PentaHealth,BATCH-7120-D,23.94,31.01,475,2028-01-30,609143309149
Product 0021,Vitamin,HealthCorp,BATCH-1771-C,157.58,196.41,179,2027-09-02,936612383913
Product 0022,Respiratory,NovaPharma,BATCH-6071-D,258.50,371.76,121,2028-06-01,856571540694
Product 0023,Analgesic,MediPharm,BATCH-9160-A,120.16,142.65,24,2027-07-07,763880585235
Product 0024,Dermatology,LifeMeds,BATCH-8602-C,27.85,41.16,369,2026-06-02,388086489992
Product 0025,Vitamin,NovaPharma,BATCH-2305-A,60.24,85.60,339,2027-04-16,205630130683
Product 0026,Respiratory,BioHeal,BATCH-6337-E,341.70,394.10,317,2027-06-12,483604338667
Product 0027,Antibiotic,WellLife,BATCH-5851-A,215.32,301.15,102,2026-04-19,368443875452
Product 0028,Dermatology,PentaHealth,BATCH-1160-E,86.70,114.99,128,2028-01-16,775200923409
Product 0029,Respiratory,PharmaPlus,BATCH-8309-E,115.81,149.01,114,2028-04-26,835763922921
Product 0030,Antacid,MediPharm,BATCH-3884-E,450.46,610.65,176,2026-05-21,356937737812
Product 0031,Cardiac,CareGen,BATCH-5866-B,489.28,718.40,186,2027-02-16,216864475462
Product 0032,Diabetes,PharmaPlus,BATCH-6456-E,261.12,318.27,241,2028-05-08,768490463565
Product 0033,Antihistamine,NovaPharma,BATCH-6406-D,54.28,70.60,164,2026-10-06,783813075447
Product 0034,Dermatology,PharmaPlus,BATCH-1541-E,256.40,370.28,70,2027-08-31,682673930832
Product 0035,Cardiac,CareGen,BATCH-8034-C,191.02,237.91,64,2027-05-28,495549044612
Product 0036,Antihistamine,LifeMeds,BATCH-7881-A,324.89,379.24,304,2028-05-13,600282248725
Product 0037,Vitamin,LifeMeds,BATCH-1863-E,286.95,414.24,35,2026-08-04,187121214663
Product 0038,Antibiotic,CareGen,BATCH-1813-E,449.10,559.49,399,2026-10-14,268176375681
Product 0039,Analgesic,PentaHealth,BATCH-8365-D,127.75,153.84,223,2026-08-13,775913321825
Product 0040,Antiseptic,PharmaPlus,BATCH-3819-B,337.03,459.65,448,2026-08-10,503958981090
Product 0041,Dermatology,CureChem,BATCH-3098-C,391.10,460.32,189,2028-05-11,751871564785
Product 0042,Dermatology,PentaHealth,BATCH-9237-A,135.26,180.85,139,2028-05-16,964628563399
Product 0043,Antibiotic,PentaHealth,BATCH-6185-E,48.88,56.84,108,2026-06-21,758567222285
Product 0044,Vitamin,MediPharm,BATCH-8374-E,272.96,376.16,112,2026-11-28,366710791561
Product 0045,Antihistamine,NovaPharma,BATCH-4644-A,47.95,66.15,107,2027-01-01,954497101385
Product 0046,Diabetes,WellLife,BATCH-2770-B,44.58,60.11,361,2028-02-14,958600064081
Product 0047,Dermatology,LifeMeds,BATCH-5776-D,252.63,338.19,405,2028-03-20,668497822713
Product 0048,Cardiac,PharmaPlus,BATCH-5763-C,223.84,312.04,65,2027-06-19,178232890563
Product 0049,Analgesic,NovaPharma,BATCH-1400-A,195.21,246.38,116,2027-08-29,850896487890
Product 0050,Antiseptic,HealthCorp,BATCH-6658-D,300.73,387.12,479,2027-10-16,646465367989
Product 0051,Diabetes,MediPharm,BATCH-4594-D,68.80,84.69,377,2026-08-22,537098743197
Product 0052,Respiratory,CureChem,BATCH-9809-D,107.44,146.01,418,2026-11-02,854372356369
Product 0053,Vitamin,CureChem,BATCH-4181-A,354.38,459.54,184,2028-02-17,426697421336
Product 0054,Cardiac,CareGen,BATCH-3618-B,324.53,381.05,314,2027-07-21,825308536382
Product 0055,Antacid,HealthCorp,BATCH-9267-D,56.96,76.30,163,2028-05-30,194465030912
Product 0056,Diabetes,WellLife,BATCH-3928-E,204.60,256.00,180,2027-05-29,960455903648
Product 0057,Antiseptic,PharmaPlus,BATCH-9457-D,84.51,109.61,104,2028-02-14,659751189052
Product 0058,Vitamin,LifeMeds,BATCH-3546-C,264.50,347.48,263,2026-07-13,105952298377
Product 0059,Antiseptic,CureChem,BATCH-2224-A,304.32,353.66,449,2027-02-03,849377549265
Product 0060,Antihistamine,HealthCorp,BATCH-2098-D,415.43,531.64,83,2026-10-17,785254407673
Product 0061,Antiseptic,WellLife,BATCH-6480-B,139.78,171.43,63,2026-10-03,374835558863
Product 0062,Cardiac,PentaHealth,BATCH-6075-A,32.83,40.87,243,2026-10-30,492892238582
Product 0063,Antihistamine,CureChem,BATCH-9783-A,373.37,467.56,481,2026-05-17,731448743553
Product 0064,Diabetes,BioHeal,BATCH-1552-C,228.98,302.15,472,2027-03-28,500448558985
Product 0065,Respiratory,HealthCorp,BATCH-4009-D,39.71,57.36,132,2026-08-25,853679730377
Product 0066,Antiseptic,MediPharm,BATCH-6617-D,467.52,604.71,456,2027-12-13,503537643316
Product 0067,Dermatology,NovaPharma,BATCH-6342-D,96.82,125.11,477,2027-12-14,610731555535
Product 0068,Cardiac,HealthCorp,BATCH-5736-A,465.81,689.76,117,2026-04-27,851620765517
Product 0069,Dermatology,WellLife,BATCH-3490-C,66.54,79.20,38,2028-06-08,481357678080
Product 0070,Dermatology,PentaHealth,BATCH-9646-E,149.71,213.11,153,2028-03-18,175040730447
Product 0071,Diabetes,PentaHealth,BATCH-1632-A,471.65,604.64,149,2027-10-18,753706642438
